Time (UTC),Open,High,Low,Close,Volume 
2024.01.01 23:00:00,2062.598,2066.595,2062.405,2065.214,0.12012
2024.01.01 23:05:00,2065.185,2065.194,2063.851,2064.455,0.06508
2024.01.01 23:10:00,2064.424,2066.365,2064.395,2065.734,0.03945
2024.01.01 23:15:00,2065.715,2066.075,2065.055,2065.585,0.04386
2024.01.01 23:20:00,2065.585,2065.815,2065.295,2065.555,0.03171
2024.01.01 23:25:00,2065.545,2065.715,2065.045,2065.075,0.01704
2024.01.01 23:30:00,2065.155,2065.335,2064.155,2064.265,0.02903
2024.01.01 23:35:00,2064.285,2065.405,2064.285,2065.245,0.03119
2024.01.01 23:40:00,2065.205,2065.265,2064.365,2064.465,0.02969
2024.01.01 23:45:00,2064.425,2064.435,2063.105,2063.345,0.02637
2024.01.01 23:50:00,2063.345,2064.095,2063.345,2063.715,0.01872
2024.01.01 23:55:00,2063.695,2064.005,2063.515,2063.615,0.01572
2024.01.02 00:00:00,2063.625,2064.465,2063.335,2064.425,0.02935
2024.01.02 00:05:00,2064.515,2064.745,2064.125,2064.575,0.01918
2024.01.02 00:10:00,2064.525,2064.865,2063.795,2063.985,0.03999
2024.01.02 00:15:00,2064.045,2064.355,2063.345,2063.585,0.02732
2024.01.02 00:20:00,2063.635,2063.675,2062.975,2063.065,0.11358
2024.01.02 00:25:00,2063.035,2063.385,2062.275,2063.345,0.18926
2024.01.02 00:30:00,2063.345,2063.835,2062.935,2063.825,0.13427
2024.01.02 00:35:00,2063.845,2063.905,2063.335,2063.785,0.08774
2024.01.02 00:40:00,2063.695,2064.655,2063.645,2064.655,0.094
2024.01.02 00:45:00,2064.655,2065.645,2064.475,2065.295,0.12975
2024.01.02 00:50:00,2065.295,2065.615,2064.965,2065.595,0.03173
2024.01.02 00:55:00,2065.585,2065.778,2064.778,2065.358,0.06561
2024.01.02 01:00:00,2065.358,2067.145,2064.785,2066.945,0.20518
2024.01.02 01:05:00,2066.915,2069.605,2066.825,2067.368,0.12359
2024.01.02 01:10:00,2067.385,2069.435,2067.235,2069.215,0.14528
2024.01.02 01:15:00,2069.195,2069.825,2067.578,2068.185,0.17614
2024.01.02 01:20:00,2068.205,2068.865,2067.275,2068.565,0.05569
2024.01.02 01:25:00,2068.565,2068.955,2068.155,2068.445,0.04212
2024.01.02 01:30:00,2068.495,2068.505,2067.035,2067.515,0.06993
2024.01.02 01:35:00,2067.555,2068.575,2066.955,2068.025,0.09456
2024.01.02 01:40:00,2068.005,2068.415,2067.815,2068.135,0.0465
2024.01.02 01:45:00,2068.215,2069.035,2067.415,2067.565,0.05273
2024.01.02 01:50:00,2067.575,2067.715,2066.785,2067.095,0.04104
2024.01.02 01:55:00,2067.095,2067.285,2066.325,2066.515,0.05003
2024.01.02 02:00:00,2066.515,2066.745,2064.995,2065.605,0.07048
2024.01.02 02:05:00,2065.585,2065.875,2064.155,2064.935,0.06594
2024.01.02 02:10:00,2064.935,2064.995,2063.915,2064.615,0.03798
2024.01.02 02:15:00,2064.595,2066.095,2064.585,2066.095,0.04371
2024.01.02 02:20:00,2066.085,2066.375,2065.845,2066.255,0.04161
2024.01.02 02:25:00,2066.125,2067.045,2065.975,2066.645,0.03909
2024.01.02 02:30:00,2066.605,2066.845,2065.735,2066.235,0.04496
2024.01.02 02:35:00,2066.245,2068.345,2066.205,2068.045,0.06474
2024.01.02 02:40:00,2067.965,2068.145,2067.415,2067.425,0.0288
2024.01.02 02:45:00,2067.475,2068.205,2067.475,2067.665,0.0282
2024.01.02 02:50:00,2067.645,2068.025,2067.285,2067.305,0.05778
2024.01.02 02:55:00,2067.375,2067.745,2067.238,2067.698,0.11605
2024.01.02 03:00:00,2067.695,2067.725,2066.445,2067.065,0.033
2024.01.02 03:05:00,2066.995,2068.605,2066.958,2068.445,0.03213
2024.01.02 03:10:00,2068.455,2069.415,2068.408,2069.065,0.0306
2024.01.02 03:15:00,2069.135,2069.795,2069.075,2069.255,0.04194
2024.01.02 03:20:00,2069.265,2069.834,2069.135,2069.708,0.08793
2024.01.02 03:25:00,2069.698,2069.965,2069.405,2069.705,0.0257
2024.01.02 03:30:00,2069.715,2069.915,2069.485,2069.775,0.01614
2024.01.02 03:35:00,2069.785,2069.875,2069.395,2069.545,0.0153
2024.01.02 03:40:00,2069.535,2069.895,2069.535,2069.825,0.01656
2024.01.02 03:45:00,2069.755,2070.285,2069.405,2069.528,0.10054
2024.01.02 03:50:00,2069.505,2069.528,2068.498,2069.028,0.11521
2024.01.02 03:55:00,2069.028,2069.628,2068.705,2069.528,0.08958
2024.01.02 04:00:00,2069.528,2069.685,2069.298,2069.615,0.06986
2024.01.02 04:05:00,2069.665,2069.795,2069.134,2069.415,0.07786
2024.01.02 04:10:00,2069.415,2070.378,2069.385,2070.278,0.05295
2024.01.02 04:15:00,2070.308,2070.578,2069.178,2069.235,0.12498
2024.01.02 04:20:00,2069.215,2069.905,2068.835,2069.815,0.04885
2024.01.02 04:25:00,2069.785,2069.825,2069.205,2069.378,0.04181
2024.01.02 04:30:00,2069.478,2070.078,2069.478,2069.885,0.04313
2024.01.02 04:35:00,2069.965,2070.325,2069.675,2070.215,0.05918
2024.01.02 04:40:00,2070.165,2070.205,2069.675,2069.795,0.05674
2024.01.02 04:45:00,2069.858,2070.095,2069.595,2069.595,0.09392
2024.01.02 04:50:00,2069.605,2069.728,2069.058,2069.088,0.12653
2024.01.02 04:55:00,2069.065,2069.705,2068.775,2069.505,0.07858
2024.01.02 05:00:00,2069.525,2069.998,2069.415,2069.655,0.0583
2024.01.02 05:05:00,2069.645,2070.315,2069.575,2070.255,0.02157
2024.01.02 05:10:00,2070.225,2071.605,2069.835,2071.525,0.06297
2024.01.02 05:15:00,2071.545,2071.775,2070.765,2070.975,0.05379
2024.01.02 05:20:00,2070.995,2071.365,2070.785,2071.255,0.01848
2024.01.02 05:25:00,2071.285,2071.615,2071.105,2071.455,0.01764
2024.01.02 05:30:00,2071.445,2071.805,2070.785,2071.565,0.03826
2024.01.02 05:35:00,2071.625,2072.185,2071.095,2071.235,0.04476
2024.01.02 05:40:00,2071.165,2072.095,2071.115,2072.095,0.03198
2024.01.02 05:45:00,2072.115,2074.725,2071.915,2073.525,0.08046
2024.01.02 05:50:00,2073.545,2074.745,2073.435,2074.635,0.03684
2024.01.02 05:55:00,2074.665,2074.695,2073.715,2074.415,0.0612
2024.01.02 06:00:00,2074.465,2074.905,2073.645,2073.815,0.03873
2024.01.02 06:05:00,2073.845,2074.025,2072.865,2073.635,0.03106
2024.01.02 06:10:00,2073.755,2074.825,2073.745,2074.705,0.04968
2024.01.02 06:15:00,2074.625,2075.225,2074.205,2074.925,0.02832
2024.01.02 06:20:00,2074.975,2076.665,2074.805,2075.358,0.05808
2024.01.02 06:25:00,2075.348,2076.075,2074.485,2075.835,0.08412
2024.01.02 06:30:00,2075.815,2076.555,2075.345,2075.495,0.10902
2024.01.02 06:35:00,2075.445,2075.945,2074.725,2075.055,0.03336
2024.01.02 06:40:00,2075.085,2075.565,2074.825,2075.035,0.02916
2024.01.02 06:45:00,2075.075,2075.135,2074.535,2074.625,0.05486
2024.01.02 06:50:00,2074.638,2074.658,2073.745,2073.905,0.06057
2024.01.02 06:55:00,2073.945,2074.465,2073.755,2074.145,0.03093
2024.01.02 07:00:00,2074.065,2075.045,2073.325,2074.275,0.06063
2024.01.02 07:05:00,2074.305,2075.655,2073.925,2075.005,0.08332
2024.01.02 07:10:00,2075.015,2075.605,2074.655,2075.255,0.20918
2024.01.02 07:15:00,2075.255,2075.785,2074.378,2074.575,0.23783
2024.01.02 07:20:00,2074.575,2076.335,2074.505,2075.815,0.18763
2024.01.02 07:25:00,2075.854,2075.915,2074.445,2075.205,0.17709
2024.01.02 07:30:00,2075.215,2075.585,2074.675,2075.245,0.06341
2024.01.02 07:35:00,2075.225,2075.715,2074.885,2075.465,0.03609
2024.01.02 07:40:00,2075.475,2075.475,2074.538,2075.115,0.08349
2024.01.02 07:45:00,2075.115,2075.148,2074.405,2075.098,0.14732
2024.01.02 07:50:00,2075.098,2075.335,2074.318,2074.885,0.26981
2024.01.02 07:55:00,2075.005,2075.265,2073.028,2073.048,0.10259
2024.01.02 08:00:00,2073.015,2074.145,2072.995,2074.095,0.26822
2024.01.02 08:05:00,2074.045,2074.185,2072.825,2073.155,0.06255
2024.01.02 08:10:00,2073.058,2074.465,2072.205,2073.975,0.08149
2024.01.02 08:15:00,2073.945,2074.185,2073.195,2073.835,0.07449
2024.01.02 08:20:00,2073.835,2073.835,2072.415,2072.825,0.07826
2024.01.02 08:25:00,2072.785,2073.225,2072.175,2072.545,0.05832
2024.01.02 08:30:00,2072.605,2073.595,2071.745,2073.565,0.0774
2024.01.02 08:35:00,2073.555,2074.315,2073.005,2073.705,0.15845
